character,dialogue,movie
"241 ""BEN"" ""Well of course, of course I know him.  He's me!  I haven't gone by the name Obi-Wan since oh, before you were born.""",,Episode IV
"242 ""LUKE"" ""Then the droid does belong to you.""",,Episode IV
"243 ""BEN"" ""Don't seem to remember ever owning a droid.  Very interesting... """,,Episode IV
"244 ""BEN"" ""I think we better get indoors.  The Sand People are easily startled but they will soon be back and in greater numbers.""",,Episode IV
"245 ""LUKE"" ""... Threepio!""",,Episode IV
"246 ""THREEPIO"" ""Where am I?  I must have taken a bad step...""",,Episode IV
"247 ""LUKE"" ""Can you stand?  We've got to get out of here before the Sand People return.""",,Episode IV
"248 ""THREEPIO"" ""I don't think I can make it.  You go on, Master Luke.  There's no sense in you risking yourself on my account.  I'm done for.""",,Episode IV
"249 ""LUKE"" ""No, you're not.  What kind of talk is that?""",,Episode IV
"250 ""BEN"" ""Quickly, son... they're on the move.""",,Episode IV
"251 ""LUKE"" ""No, my father didn't fight in the wars.  He was a navigator on a spice freighter.""",,Episode IV
"252 ""BEN"" ""That's what your uncle told you.  He didn't hold with your father's ideals.  Thought he should have stayed here and not gotten involved.""",,Episode IV
"253 ""LUKE"" ""You fought in the Clone Wars?""",,Episode IV
"254 ""BEN"" ""Yes, I was once a Jedi Knight the same as your father.""",,Episode IV
"255 ""LUKE"" ""I wish I'd known him.""",,Episode IV
"256 ""BEN"" ""He was the best star-pilot in the galaxy, and a cunning warrior.  I understand you've become quite a good pilot yourself.  And he was a good friend.  Which reminds me...""",,Episode IV
"257 ""BEN"" ""I have something here for you.  Your father wanted you to have this when you were old enough, but your uncle wouldn't allow it.  He feared you might follow old Obi-Wan on some damned-fool idealistic crusade like your father did. """,,Episode IV
"258 ""THREEPIO"" ""Sir, if you'll not be needing me, I'll close down for awhile.""",,Episode IV
"259 ""LUKE"" ""Sure, go ahead.""",,Episode IV
"260 ""LUKE"" ""What is it?""",,Episode IV
"261 ""BEN"" ""Your fathers lightsaber.  This is the weapon of a Jedi Knight.  Not as clumsy or as random as a blaster.""",,Episode IV
"262 ""BEN"" ""An elegant weapon for a morecivilized time.  For over a thousand generations the Jedi Knights were the guardians of peace and justice in the Old Republic.  Before the dark times, before the Empire.""",,Episode IV
"263 ""LUKE"" ""How did my father die?""",,Episode IV
"264 ""BEN"" ""A young Jedi named Darth Vader, who was a pupil of mine until he turned to evil, helped the Empire hunt down and destroy the Jedi Knights.  He betrayed and murdered your father.  Now the Jedi are all but extinct.  Vader was seduced by the dark side of the Force.""",,Episode IV
"265 ""LUKE"" ""The Force?""",,Episode IV
"266 ""BEN"" ""Well, the Force is what gives the Jedi his power.  It's an energy field created by all living things.  It surrounds us and penetrates us.  It binds the galaxy together.""",,Episode IV
"267 ""BEN"" ""Now, let's see if we can't figure out what you are, my little friend.  And where you come from.""",,Episode IV
"268 ""LUKE"" ""I saw part of the message he was...""",,Episode IV
"269 ""BEN"" ""I seem to have found it.""",,Episode IV
"270 ""LEIA"" ""General Kenobi, years ago you served my father in the Clone Wars.  Now he begs you to help him in his struggle against the Empire.  I regret that I am unable to present my father's request to you in person, but my ship has fallen under attack and I'm afraid my mission to bring you to Alderaan has failed.  I have placed information vital to the survival of the Rebellion into the memory systems of this R2 unit.  My father will know how to retrieve it.  You must see this droid safely delivered to him on Alderaan.  This is our most desperate hour.  Help me, Obi-Wan Kenobi, you're my only hope.""",,Episode IV
"271 ""BEN"" ""You must learn the ways of the Force if you're to come with me to Alderaan.""",,Episode IV
"272 ""LUKE"" ""Alderaan?  I'm not going to Alderaan.  I've got to go home.  It's late, I'm in for it as it is.""",,Episode IV
"273 ""BEN"" ""I need your help, Luke.  I'm getting too old for this sort of thing.She needs your help.""",,Episode IV
"274 ""LUKE"" ""I can't get involved!  I've got work to do!  It's not that I like the Empire.  I hate it!  But there's nothing I can do about it right now.  It's such a long way from here.""",,Episode IV
"275 ""BEN"" ""That's your uncle talking.""",,Episode IV
"276 ""LUKE"" ""Oh, God, my uncle.  How am I ever going to explain this?""",,Episode IV
"277 ""BEN"" ""Learn about the Force, Luke.""",,Episode IV
